Param Name,Description,Param Type,Default Value,Enum Values
Replicator Subsystems State,,enum,0,"eSubsystemStateUninitialized, eSubsystemStateInitializing, eSubsystemStateInitialized, eSubsystemStateRunning, eSubsystemStatePowersave, eSubsystemStateShuttingDown, eSubsystemStateShutdown, eSubsystemStateFatalError"
Record Alarm,,enum,0,"Uninitialized, None, No Clip, File Open Failed, HW Failed, Audio Failed, File Exists"
System Time,,string,0,
Go To Clip,,string,,
Replicator Record State,,enum,0,"eRRSUninitialized, eRRSIdle, eRRSRecording, eRRSFailingInIdle, eRRSFailingInRecord, eRRSShutdown"
Replicator Stream State,,enum,0,"eRSSUninitialized, eRSSIdle, eRSSStreaming, eRSSFailingInIdle, eRSSFailingInStream, eRSSShutdown"
Primary Record State,,enum,0,"Initializing, Idle, Recording, Idle, Stopped, Shutting down"
Secondary Record State,,enum,0,"Initializing, Idle, Recording, Idle, Stopped, Shutting down"
Link Start and Stop,,enum,0,"Off, On"
Link Profiles,,enum,0,"Independent Codecs, Use Stream Codec For Record"
Media Manager State,,enum,0,"eSubsystemStateUninitialized, eSubsystemStateInitializing, eSubsystemStateInitialized, eSubsystemStateRunning, eSubsystemStatePowersave, eSubsystemStateShuttingDown, eSubsystemStateShutdown, eSubsystemStateFatalError"
Product ID,,string,HELO,
Network Services,,string,[],
Firmware Status,,enum,0,"eFirmwareStatusDefault, eFirmwareStatusProgramming, eFirmwareStatusRunning"
System Temperature,,integer,0,
Recording Template,,enum,2,"1080p High 20 Mbps, 1080p Low 5 Mbps, 720p High 10 Mbps, 720p Low 4 Mbps, 540p, 360p, 270p, NTSC, PAL, VGA"
Streaming Template,,enum,2,"1080p High 10Mbps, 1080p High 5Mbps, 720p High, 720p Mid, 720p Low, 540p, 360p, 270p, NTSC, PAL, VGA"
Copy Record Template,,enum,0,Copy
Copy Stream Template,,enum,0,Copy
Recording Profile Copy From,,enum,1,", , , , , , , , , "
Streaming Profile Copy From,,enum,1,", , , , , , , , , "
Clone Record Profile,,enum,0,Copy
Clone Stream Profile,,enum,0,Copy
Shutdown Message,,string,,
Shutdown Message II,,enum,0,", Shutdown: 2 seconds, Shutdown: 1 second, Shutting down now., Over Temp, Firmware Update: Rebooting"
System State,,enum,0,"eSystemStateUninitialized, eSystemStateInitializingConfig, eSystemStateInitializingFirmware, eSystemStateInitialized, eSystemStateRunning, eSystemStatePowersave, eSystemStateLowBattery, eSystemStateShutdownRequested, eSystemStateShuttingDown, eSystemStateShutdown, eSystemStateFatalError"
Beer Goggles,,enum,0,"No Beer..., Beer Thirty!"
UPnP Host,,enum,1,"Disable, Enable"
HTTPS Web Access,,enum,0,"Disable, Enable"
HTTPS Certificate Status,,string,No certificate present,
HTTPS Available,,enum,0,"No, Yes"
HW Error,,data,CAAQARoUCghIVyBFcnJvchIISFcgRXJyb3I=,
SW Error,,data,CAAQARoUCghTVyBFcnJvchIIU1cgRXJyb3I=,
Format Error,,data,CAAQARocCgxGb3JtYXQgRXJyb3ISDEZvcm1hdCBFcnJvcg==,
Storage Removed During Record: REBOOT REQUIRED,,data,CAAQARpBCi5TdG9yYWdlIFJlbW92ZWQgRHVyaW5nIFJlY29yZDogUkVCT09UIFJFUVVJUkVEEg9TdG9yYWdlIFJlbW92ZWQ=,
Invalid Selection,,data,CAAQARomChFJbnZhbGlkIFNlbGVjdGlvbhIRSW52YWxpZCBTZWxlY3Rpb24=,
Name In Use,,data,CAAQARoaCgtOYW1lIEluIFVzZRILTmFtZSBJbiBVc2U=,
Record Format,,data,CAAQARoeCg1SZWNvcmQgRm9ybWF0Eg1SZWNvcmQgRm9ybWF0,
Dropped Frames,,data,CAAQABogCg5Ecm9wcGVkIEZyYW1lcxIORHJvcHBlZCBGcmFtZXM=,
Near Over Temp,,data,CAAQABogCg5OZWFyIE92ZXIgVGVtcBIOTmVhciBPdmVyIFRlbXA=,
Input Error,,data,CAAQABoaCgtJbnB1dCBFcnJvchILSW5wdXQgRXJyb3I=,
Safe Boot Mode,,data,CAAQABogCg5TYWZlIEJvb3QgTW9kZRIOU2FmZSBCb290IE1vZGU=,
Media Low,,data,CAAQABoWCglNZWRpYSBMb3cSCU1lZGlhIExvdw==,
Media Full,,data,CAAQARoYCgpNZWRpYSBGdWxsEgpNZWRpYSBGdWxs,
A/V Mismatch,,data,CAAQARocCgxBL1YgTWlzbWF0Y2gSDEEvViBNaXNtYXRjaA==,
Input Format Changed,,data,CAAQABosChRJbnB1dCBGb3JtYXQgQ2hhbmdlZBIUSW5wdXQgRm9ybWF0IENoYW5nZWQ=,
No Video Input,,data,CAAQABogCg5ObyBWaWRlbyBJbnB1dBIOTm8gVmlkZW8gSW5wdXQ=,
Frame Skipped,,data,CAAQABoeCg1GcmFtZSBTa2lwcGVkEg1GcmFtZSBTa2lwcGVk,
Media Unformatted,,data,CAAQABomChFNZWRpYSBVbmZvcm1hdHRlZBIRTWVkaWEgVW5mb3JtYXR0ZWQ=,
Backup and Reformat,,data,CAAQARoqChNCYWNrdXAgYW5kIFJlZm9ybWF0EhNCYWNrdXAgYW5kIFJlZm9ybWF0,
2 Channel Format,,data,CAAQARpUCkkyLjEgQXVkaW8gSW5wdXQgYW5kCjIuMyBBdWRpbyBDaGFubmVscwpTZXR0aW5ncyBjb25mbGljdCB3aXRoIGVhY2ggb3RoZXIuEgcyQ2ggRm10,
No Clip Name,,data,CAAQABocCgxObyBDbGlwIE5hbWUSDE5vIENsaXAgTmFtZQ==,
Unsupported Media,,data,CAAQARomChFVbnN1cHBvcnRlZCBNZWRpYRIRVW5zdXBwb3J0ZWQgTWVkaWE=,
No Media In Selected Slot,,data,CAAQARooChJObyBNZWRpYSBJbnN0YWxsZWQSEk5vIE1lZGlhIEluc3RhbGxlZA==,
BitRate Adjusted,,data,CAAQARokChBCaXRSYXRlIEFkanVzdGVkEhBCaXRSYXRlIEFkanVzdGVk,
Change Encode Mode,,data,CAAQARooChJDaGFuZ2UgRW5jb2RlIE1vZGUSEkNoYW5nZSBFbmNvZGUgTW9kZQ==,
Safeboot,,data,CAAQARoUCghTYWZlYm9vdBIIU2FmZWJvb3Q=,
Dual Streams Inhibited,,data,CAAQABowChZEdWFsIFN0cmVhbXMgSW5oaWJpdGVkEhZEdWFsIFN0cmVhbXMgSW5oaWJpdGVk,
Remote Media Mount Failed,,data,CAAQARo2ChlSZW1vdGUgTWVkaWEgTW91bnQgRmFpbGVkEhlSZW1vdGUgTWVkaWEgTW91bnQgRmFpbGVk,
SD Card Write Protected,,data,CAAQARoyChdTRCBDYXJkIFdyaXRlIFByb3RlY3RlZBIXU0QgQ2FyZCBXcml0ZSBQcm90ZWN0ZWQ=,
Remote Media Name Lookup Failure,,data,CAAQARqCAQpfVW5hYmxlIHRvIHJlc29sdmUgbmFtZSBmb3IgcmVtb3RlIG1lZGlhIHJlY29yZCBkZXN0aW5hdGlvbi4gIElzIHlvdXIgRE5TIGNvbmZpZ3VyYXRpb24gY29ycmVjdD8SH1JlbW90ZSBtZWRpYSBETlMgbG9va3VwIGZhaWxlZC4=,
Streaming Failed,,data,CAAQARokChBTdHJlYW1pbmcgRmFpbGVkEhBTdHJlYW1pbmcgRmFpbGVk,
Recording Failed,,data,CAAQARokChBSZWNvcmRpbmcgRmFpbGVkEhBSZWNvcmRpbmcgRmFpbGVk,
Network Name Not Found,,data,CAAQARowChZOZXR3b3JrIE5hbWUgTm90IEZvdW5kEhZOZXR3b3JrIE5hbWUgTm90IEZvdW5k,
NTP Name Resolution Failure,,data,CAAQARo6ChtOVFAgTmFtZSBSZXNvbHV0aW9uIEZhaWx1cmUSG05UUCBOYW1lIFJlc29sdXRpb24gRmFpbHVyZQ==,
Remote Share Unwritable,,data,CAAQARq8AQqLAVVuYWJsZSB0byB3cml0ZSB0byByZW1vdGUgbWVkaWEuICBDaGVjayBzZXJ2ZXIgdG8gZW5zdXJlIHRoYXQgdGhlIHJlbW90ZSBzaGFyZSBpcyBzaGFyZWQgcmVhZC13cml0ZSwgaXMgbm90IHdyaXRlIHByb3RlY3RlZCwgYW5kIGlzIG9ubGluZS4SLE1lZGlhIFdyaXRlIFByb3RlY3RlZCwgUmVhZC1Pbmx5LCBvciBPZmZsaW5l,
No Audio Input,,data,CAAQABogCg5ObyBBdWRpbyBJbnB1dBIOTm8gQXVkaW8gSW5wdXQ=,
Scheduled Event Active,,data,CAAQABowChZTY2hlZHVsZWQgRXZlbnQgQWN0aXZlEhZTY2hlZHVsZWQgRXZlbnQgQWN0aXZl,
Scheduled Event Failed,,data,CAAQABowChZTY2hlZHVsZWQgRXZlbnQgRmFpbGVkEhZTY2hlZHVsZWQgRXZlbnQgRmFpbGVk,
Scheduled Event Canceled,,data,CAAQABo0ChhTY2hlZHVsZWQgRXZlbnQgQ2FuY2VsZWQSGFNjaGVkdWxlZCBFdmVudCBDYW5jZWxlZA==,
Scheduled Event Late,,data,CAAQABosChRTY2hlZHVsZWQgRXZlbnQgTGF0ZRIUU2NoZWR1bGVkIEV2ZW50IExhdGU=,
Scheduled Event Discarded,,data,CAAQABo2ChlTY2hlZHVsZWQgRXZlbnQgRGlzY2FyZGVkEhlTY2hlZHVsZWQgRXZlbnQgRGlzY2FyZGVk,
Scheduling Error,,data,CAAQABokChBTY2hlZHVsaW5nIEVycm9yEhBTY2hlZHVsaW5nIEVycm9y,
Calendar Sync Failed,,data,CAAQARo5CiNTeW5jIG9mIHJlbW90ZSBjYWxlbmRhciBmaWxlIGZhaWxlZBISUmVtb3RlIHN5bmMgZmFpbGVk,
Scheduler Takes Priority,,data,CAAQARq9AQqgAVBvd2VyIFVwIFN0YXRlIHJlcXVlc3RzIGFuIGFjdGl2aXR5IHdoaWNoIGlzIGFsc28gY29udHJvbGxlZCBieSB0aGUgc2NoZWR1bGVyLiBUaGUgc2NoZWR1bGVyIHRha2VzIHByaW9yaXR5OiB0aGUgY29ycmVzcG9uZGluZyBwb3dlciB1cCBhY3Rpdml0eSB3aWxsIG5vdCBvY2N1ci4SGFNjaGVkdWxlciBUYWtlcyBQcmlvcml0eQ==,
Primary Record Path Invalid,,data,CAAQARpcCjlUaGUgcHJpbWFyeSByZWNvcmRpbmcgcGF0aCBwb2ludHMgdG8gYW4gaW52YWxpZCBsb2NhdGlvbi4SH1ByaW1hcnkgcmVjb3JkaW5nIHBhdGggaW52YWxpZC4=,
Secondary Media Low,,data,CAAQABokChNTZWNvbmRhcnkgTWVkaWEgTG93Eg0ybmQgTWVkaWEgTG93,
Secondary Media Full,,data,CAAQARomChRTZWNvbmRhcnkgTWVkaWEgRnVsbBIOMm5kIE1lZGlhIEZ1bGw=,
Secondary Media Unformatted,,data,CAAQABo0ChtTZWNvbmRhcnkgTWVkaWEgVW5mb3JtYXR0ZWQSFTJuZCBNZWRpYSBVbmZvcm1hdHRlZA==,
Backup and Reformat Secondary Media,,data,CAAQARpECiNCYWNrdXAgYW5kIFJlZm9ybWF0IFNlY29uZGFyeSBNZWRpYRIdQmFja3VwIGFuZCBSZWZvcm1hdCAybmQgTWVkaWE=,
Unsupported Secondary Media,,data,CAAQARo0ChtVbnN1cHBvcnRlZCBTZWNvbmRhcnkgTWVkaWESFVVuc3VwcG9ydGVkIDJuZCBNZWRpYQ==,
No Media In Secondary Slot,,data,CAAQARo2ChxObyBTZWNvbmRhcnkgTWVkaWEgSW5zdGFsbGVkEhZObyAybmQgTWVkaWEgSW5zdGFsbGVk,
Secondary Remote Media Mount Failed,,data,CAAQARpECiNTZWNvbmRhcnkgUmVtb3RlIE1lZGlhIE1vdW50IEZhaWxlZBIdMm5kIFJlbW90ZSBNZWRpYSBNb3VudCBGYWlsZWQ=,
Secondary Remote Share Unwritable,,data,CAAQARrKAQqVAVVuYWJsZSB0byB3cml0ZSB0byBzZWNvbmRhcnkgcmVtb3RlIG1lZGlhLiAgQ2hlY2sgc2VydmVyIHRvIGVuc3VyZSB0aGF0IHRoZSByZW1vdGUgc2hhcmUgaXMgc2hhcmVkIHJlYWQtd3JpdGUsIGlzIG5vdCB3cml0ZSBwcm90ZWN0ZWQsIGFuZCBpcyBvbmxpbmUuEjAybmQgTWVkaWEgV3JpdGUgUHJvdGVjdGVkLCBSZWFkLU9ubHksIG9yIE9mZmxpbmU=,
SD Card Write Protected,,data,CAAQARosChdTRCBDYXJkIFdyaXRlIFByb3RlY3RlZBIRU0QgQ2FyZCBQcm90ZWN0ZWQ=,
Secondary Remote Media Name Lookup Failure,,data,CAAQARqWAQppVW5hYmxlIHRvIHJlc29sdmUgbmFtZSBmb3Igc2Vjb25kYXJ5IHJlbW90ZSBtZWRpYSByZWNvcmQgZGVzdGluYXRpb24uICBJcyB5b3VyIEROUyBjb25maWd1cmF0aW9uIGNvcnJlY3Q/EilTZWNvbmRhcnkgcmVtb3RlIG1lZGlhIEROUyBsb29rdXAgZmFpbGVkLg==,
Recording Path Alarm,,data,CAAQARpvCkhUaGUgcmVjb3JkaW5nIHBhdGggaXMgbm90IHNldCB1cCBjb3JyZWN0bHkgb3IgaGFzIGluY29ycmVjdCBwZXJtaXNzaW9ucy4SI1JlY29yZGluZyBwYXRoIG5vdCBzZXQgdXAgY29ycmVjdGx5,
Media Too Slow,,data,CAAQARp1ClVUaGUgcmVjb3JkaW5nIG1lZGlhIGlzIG5vdCB3cml0aW5nIGRhdGEgZmFzdCBlbm91Z2ggdG8ga2VlcCB1cCB3aXRoIHRoZSB2aWRlbyBzdHJlYW0uEhxSZWNvcmRpbmcgbWVkaWEgaXMgdG9vIHNsb3cu,
Network Too Slow,,data,CAAQARqJAQpxVGhlIG5ldHdvcmsgb3IgbWVkaWEgc2VydmVyIGlzIG5vdCBydW5uaW5nIGZhc3QgZW5vdWdoIHRvIGtlZXAgdXAgd2l0aCB0aGUgc2VsZWN0ZWQgYml0cmF0ZSBmb3IgdGhlIHZpZGVvIHN0cmVhbS4SFE5ldHdvcmsgaXMgdG9vIHNsb3cu,
Secondary Record Path Invalid,,data,CAAQARpgCjtUaGUgc2Vjb25kYXJ5IHJlY29yZGluZyBwYXRoIHBvaW50cyB0byBhbiBpbnZhbGlkIGxvY2F0aW9uLhIhU2Vjb25kYXJ5IHJlY29yZGluZyBwYXRoIGludmFsaWQu,
Primary Recording Destination Insecure,,data,CAAQABrJAgqaAlRoZSBwcmltYXJ5IHJlY29yZGluZyBkZXN0aW5hdGlvbiBpcyBjb25uZWN0ZWQgdG8gYSByZW1vdGUgZmlsZSBzaGFyZSB1c2luZyBTTUIgVmVyc2lvbiAxLjAsIHdoaWNoIGlzIGluc2VjdXJlIGFuZCBzaG91bGQgbm90IGJlIHVzZWQgYmVjYXVzZSBpdCBjYW4gZXhwb3NlIG5ldHdvcmsgdXNlcm5hbWVzIGFuZCBwYXNzd29yZHMgdG8gYXR0YWNrZXJzLiBTTUIgdmVyc2lvbiAyLjAgb3IgaGlnaGVyIHNob3VsZCBiZSB1c2VkIGluc3RlYWQgaW4gdGhlIFJlY29yZGluZyBQcm9maWxlcyBtZW51LhIqUHJpbWFyeSByZWNvcmRpbmcgZGVzdGluYXRpb24gaXMgaW5zZWN1cmUu,
Secondary Recording Destination Insecure,,data,CAAQABrNAgqcAlRoZSBzZWNvbmRhcnkgcmVjb3JkaW5nIGRlc3RpbmF0aW9uIGlzIGNvbm5lY3RlZCB0byBhIHJlbW90ZSBmaWxlIHNoYXJlIHVzaW5nIFNNQiBWZXJzaW9uIDEuMCwgd2hpY2ggaXMgaW5zZWN1cmUgYW5kIHNob3VsZCBub3QgYmUgdXNlZCBiZWNhdXNlIGl0IGNhbiBleHBvc2UgbmV0d29yayB1c2VybmFtZXMgYW5kIHBhc3N3b3JkcyB0byBhdHRhY2tlcnMuIFNNQiB2ZXJzaW9uIDIuMCBvciBoaWdoZXIgc2hvdWxkIGJlIHVzZWQgaW5zdGVhZCBpbiB0aGUgUmVjb3JkaW5nIFByb2ZpbGVzIG1lbnUuEixTZWNvbmRhcnkgcmVjb3JkaW5nIGRlc3RpbmF0aW9uIGlzIGluc2VjdXJlLg==,
Primary File System Incompatible,,data,CAAQABrbAQq2AVRoZSBwcmltYXJ5IHJlY29yZGluZyBkZXN0aW5hdGlvbiBGQVQgZmlsZXN5c3RlbSBpcyBub3QgY29tcGF0aWJsZSB3aXRoICdMb25nIFNpbmdsZSBTZWdtZW50JyBSZWNvcmQgRHVyYXRpb24gRXh0ZW50LiBSZWZvcm1hdCB0byBleEZBVCB0byBjb250aW51ZSwgb3IgY2hhbmdlIFJlY29yZCBEdXJhdGlvbiBFeHRlbnQuEiBQcmltYXJ5IEZpbGUgU3lzdGVtIEluY29tcGF0aWJsZQ==,
Secondary File System Incompatible,,data,CAAQABrfAQq4AVRoZSBzZWNvbmRhcnkgcmVjb3JkaW5nIGRlc3RpbmF0aW9uIEZBVCBmaWxlc3lzdGVtIGlzIG5vdCBjb21wYXRpYmxlIHdpdGggJ0xvbmcgU2luZ2xlIFNlZ21lbnQnIFJlY29yZCBEdXJhdGlvbiBFeHRlbnQuIFJlZm9ybWF0IHRvIGV4RkFUIHRvIGNvbnRpbnVlLCBvciBjaGFuZ2UgUmVjb3JkIER1cmF0aW9uIEV4dGVudC4SIlNlY29uZGFyeSBGaWxlIFN5c3RlbSBJbmNvbXBhdGlibGU=,
Recall Preset,,integer,1,
Recall Result,,enum,0,", Recalling..., Complete, Preset Empty, Recall Failed"
Store Preset,,integer,1,
Store Result,,enum,0,", Storing..., Complete, Preset Empty, Store Failed"
Load Preset,,integer,0,
Load Result,,enum,0,", Exporting..., Export Complete, Preset Empty, Export Failed"
Store Preset,,integer,0,
Store Result,,enum,0,", Importing..., Import Complete, Preset Empty, Import Failed"
Export Result,,enum,0,", Exporting..., Export Complete, Preset Empty, Export Failed"
Import Result,,enum,0,", Importing..., Import Complete, Preset Empty, Import Failed"
Erase Preset,,integer,1,
Erase Result,,enum,0,", Erasing..., Complete, Preset Empty, Erase Failed"
Preset #1,,string,Preset 1,
Preset #2,,string,Preset 2,
Preset #3,,string,Preset 3,
Preset #4,,string,Preset 4,
Preset #5,,string,Preset 5,
Preset #6,,string,Preset 6,
Preset #7,,string,Preset 7,
Preset #8,,string,Preset 8,
Preset #9,,string,Preset 9,
Preset #10,,string,Preset 10,
Preset #11,,string,Preset 11,
Preset #12,,string,Preset 12,
Preset #13,,string,Preset 13,
Preset #14,,string,Preset 14,
Preset #15,,string,Preset 15,
Preset #16,,string,Preset 16,
Preset #17,,string,Preset 17,
Preset #18,,string,Preset 18,
Preset #19,,string,Preset 19,
Preset #20,,string,Preset 20,
Media Updated,,integer,0,
Installed,,string,Unknown Version,
Most recently updated SW Version,,string,Unknown Version,
Safeboot SW Version,,string,Unknown Version,
Bootloader Version,,string,Unknown Version,
Firmware Update State,,enum,0,"Update Idle, Update Uploading, Update Uploaded, Update Verifying, Update Verified, Update Committing, Update Committed, Update Rebooting, Update Aborted"
Uploaded Image Version,,string,Unknown Version,
Uploaded Image Verification,,enum,1,"Image Valid, Nothing Uploaded Yet, Wrong product, Image Incomplete, Image Too Big, Image Checksum Mismatch, Image Digital Signature Failure"
Uploaded Image Commit Trigger,,integer,0,
State of Firmware Commit,,enum,0,"Idle, In Progress, Failed, Complete"
Commit Status Percentage,,integer,0,
System Reboot Trigger,,enum,1,"Most Recent, Safeboot"
Update firmware from file,,string,,
Upload area access request,,integer,0,
Path to directory store uploaded files into,,string,,
IP Address Type,,enum,1,"DHCP, Static Addr"
IP Address,,string,192.168.0.2,
Subnet Mask,,string,255.255.255.0,
Default Gateway,,string,192.168.0.1,
Default Gateway,,string,192.168.0.1,
IP Address,,string,,
Subnet Mask,,string,,
MAC Address,,string,00:0C:17:3A:26:D0,
IP Address Offered,,string,,
DHCP Commit,,integer,0,
DHCP State,,string,None,
Network Connected,,enum,0,"No, Yes"
DNS Search,,string,,
DNS Search Path,,string,,
Primary DNS Server,,string,,
Primary DNS Server,,string,,
Secondary DNS Server,,string,,
Secondary DNS Server,,string,,
Link State,,string,,
Network Link Error Count,,integer,0,
Ethernet Interface Setup State,,enum,0,"Uninitialized, Preparing, Complete"
